XCoord,YCoord,A,P
-1.49100000,54.67162500,1795.431108,184.690133
-1.33675000,54.67162500,897.715554,120.174434
-1.33637500,54.67162500,448.857777,87.916585
-1.33612500,54.67162500,448.857777,87.916585
-1.33575000,54.67162500,897.715554,120.174434
-1.33525000,54.67162500,897.715554,120.174434
-1.33475000,54.67162500,897.715554,120.174434
-1.49112500,54.67137500,1346.581546,152.432876
-1.49062500,54.67137500,448.860515,87.916781
-1.49112500,54.67112500,1346.589761,152.433468
-1.49062500,54.67112500,448.863254,87.916976
-1.49025000,54.67112500,897.726507,120.175222
-1.49125000,54.67087500,897.731984,120.175616
-1.49087500,54.67087500,448.865992,87.917172
-1.49062500,54.67087500,448.865992,87.917172
-1.49125000,54.67062500,897.737461,120.176010
-1.49075000,54.67062500,897.737461,120.176010
-1.47637500,54.67060673,287.447071,89.216897
-1.49175000,54.67037500,897.742937,120.176404
-1.49125000,54.67037500,897.742937,120.176404
-1.47675000,54.67037500,897.742937,120.176404
-1.47637500,54.67037500,448.871468,87.917564
-1.47612500,54.67037500,448.871468,87.917564
-1.49225000,54.67012500,897.748414,120.176798
-1.47737500,54.67012500,1346.622621,152.435836
-1.47675000,54.67012500,897.748414,120.176798
-1.47637500,54.67012500,448.874207,87.917760
-1.47612500,54.67012500,448.874207,87.917760
-1.49275000,54.66987500,897.753890,120.177192
-1.49225000,54.66987500,897.753890,120.177192
-1.49175000,54.67000000,1795.502304,175.835715
-1.47787500,54.66987500,448.876945,87.917956
-1.47737500,54.66987500,1346.630835,152.436429
-1.47675000,54.66987500,897.753890,120.177192
-1.47612500,54.66989327,287.452076,89.217157
-1.72437500,54.66962500,448.879684,87.918151
-1.72400000,54.66962500,897.759367,120.177586
-1.72150000,54.66962500,897.759367,120.177586
-1.72100000,54.66962500,897.759367,120.177586
-1.71375000,54.66962500,897.759367,120.177586
-1.71325000,54.66962500,897.759367,120.177586
-1.49275000,54.66962500,897.759367,120.177586
-1.49225000,54.66962500,897.759367,120.177586
-1.49175000,54.66962500,897.759367,120.177586
-1.49125000,54.66962500,897.759367,120.177586
-1.49025000,54.66962500,897.759367,120.177586
-1.48975000,54.66962500,897.759367,120.177586
-1.72469368,54.66937500,521.650471,107.805854
-1.72100000,54.66937500,897.764843,120.177980
-1.71287500,54.66937500,2244.412109,216.956878
-1.49312500,54.66937500,448.882422,87.918347
-1.49287500,54.66937500,448.882422,87.918347
-1.49262500,54.66937500,448.882422,87.918347
